Name,Bud,Regex
Barkan and Partners,barkan,barkan
AP Møller Mærsk,maersk,\bmaersk
Ackerstein Industries,ackerstein,ackerstein
Actividades de Construcción y Servicios,actividades,actividades.*(acs|constr|serv)
Adm Do Brasil,,
AeroVironment,,
Agrex Do Brasil S.A.,,
Ahava Dead Sea Laboratories,ahava,ahava
Airbnb,,\babnb
Alon Blue Square,alon,\balon
Alphabet,alphabet,\balphabet\b
Alstom,,
Altice International,altice,\baltice
Amaggi Exportacao E Importacao,,
Amaggi Louis Dreyfus Zen Noh Graos Sa,,
Amazon,amazon,\bamazon\b
Amir Marketing and Investments,amir,\bamir
Amos Hadar Properties and Investments,amos,\bamos
Amot Investments,amot,\bamot\b
Anglo Saxon Real Estate,anglo,anglo.*(saxon|real.*estate)
Apple Inc,apple,\bapple
Archivists,,
Ariel Properties Group,ariel,\bariel.*(properties|group)
Ashot Ashkelon Industries,ashot,ashot|ashkelon
Ashtrom Group,ashtrom,ashtrom
Ashtrom Industries,ashtrom industries,ashtrom.*industries
Ashtrom Residential Development,ashtrom residential,ashtrom.*(residential|development)
Axel Springer,axel,\baxel\b
Gaon Holdings,gaon,gaon
BAE Systems,bae,\bbae.*(plc|systems)
Bank Hapoalim,hapoalim,hapoalim
Bank Leumi,leumi,leumi
Bank of Jerusalem,jerusalem,(?=.*bank).*jerusalem
"Bar-Amana Buildings Construction and
Development",amana,amana
"Barad Earthworks, Development and Roadworks",barad,barad
Baran Group,baran,baran
Bardarian Brothers,bardarian,bardarian
Beit Haarchiv,haarchiv,haarchiv
Bezeq The Israeli Telecomunication Corp,bezeq,bezeq
Bianchini Sa Industria Comercio & Agricultura,,
Blackrock,,
Bombardier Transportation Israel,bombardier,bombardier.*israel
Boneich Construction Development & Investments,boneich,boneich
Booking Holdings,booking,booking
Booking.com,bookingcom,booking.*com
BP Plc,,
Bright Dairy & Food Ltd,bright dairy,\bbright dairy\b
Bright Food Group,bright food,\bbright food\b
