Company name,Bud
Airbnb,airbnb co
Altice International,altice europe
Amisragas,amisragas
Amisragas,american-israeli ga
Angel Bakeries Ltd,salomon
Mærsk,ap moeller
Mærsk,mærsk
Ariel Properties Group,ariel group
C. Mer Industries,mer industries
Reshet Cafe Israel,cafe cafe israel
Reshet Cafe Israel,cafe israel
Cisco Systems,cisco sistems
CAF S.A,ferrocarriles
Delta Israel Brands,israel brands
First International Bank of Israel,international bank of israel
Hikvision Digital Technology,hikvision
J.C Bamford Excavators,bamford excavators
Keller Williams Reality Inc,williams reality
Jewish National Fund,kayemeth leisrael
Jewish National Fund,jewish national fund
Mayer’s Cars and Trucks Co.,mayer's cars and trucks
Mizrahi Tefahot Bank,tefahot bank
Modi’in Ezrachi Group,ezrachi
Modi’in Ezrachi Group,modi’in ezrachi
Mordechai Ltd,aviv tassiot
Paz Retail and Energy Ltd,paz oil company
Petrobras,petrobras
Re/Max Israel,remax
Caisse de dépôt et placement du Québec,the caisse de depot et placement du quebec
Caisse de dépôt et placement du Québec,the caisse de dépôt et placement du québec
The Coca-Cola Company,coca-cola
ZMH Ltd,hammerman
MAN Truck & Bus SE,truck & bus
