List name,Company name
OCDB,Airbnb
OCDB,Alon Blue Square
OCDB,Alstom
OCDB,Altice International
OCDB,Ashtrom Group
OCDB,Axel Springer
OCDB,Bank Hapoalim
OCDB,Bank Leumi
OCDB,Bezeq Group
OCDB,Booking Holdings
OCDB,Bright Dairy & Food
OCDB,Construcciones y Auxiliar de Ferrocarriles (CAF)
OCDB,Carlsberg
OCDB,Carrefour
OCDB,Caterpillar
OCDB,Cellcom Israel
OCDB,Cemex
OCDB,Cisco Systems
OCDB,CNH Industrial
OCDB,Danya Cebus
OCDB,Delek Group
OCDB,Delta Galil Industries
OCDB,eDreams ODIGEO
OCDB,Elbit Systems
OCDB,Electra Group
OCDB,Expedia Group
OCDB,Hamat Group
OCDB,Heidelberg Materials
OCDB,Hewlett Packard Enterprise
OCDB,HikVision
OCDB,Hilan
OCDB,Hyundai Heavy Industries
OCDB,IBM
OCDB,Israel Chemicals (ICL Group)
OCDB,Israel Discount Bank
OCDB,MAN Group
OCDB,Matrix IT
OCDB,Mivne Group
OCDB,Mizrahi Tefahot Bank
OCDB,Motorola Solutions
OCDB,Orbia
OCDB,Partner Communications
OCDB,Paz Oil Company
OCDB,Rami Levy Chain Stores Hashikma Marketing 2006
OCDB,RE/MAX Holdings
OCDB,Shapir Engineering and Industry
OCDB,Shikun & Binui
OCDB,Shufersal
OCDB,Siemens
OCDB,Syensqo
OCDB,Coca-Cola Co
OCDB,TKH Group
OCDB,Tripadvisor
OCDB,TUI Group
OCDB,Villar International
OCDB,Vinci / SEMI
OCDB,Volvo Group
OCDB,WSP Global
UNSR OPT,Airbnb
UNSR OPT,Alon Blue Square
UNSR OPT,Alstom
UNSR OPT,Altice International
UNSR OPT,Ashtrom Group
UNSR OPT,Axel Springer
UNSR OPT,Bank Hapoalim
UNSR OPT,Bank Leumi
UNSR OPT,Bezeq Group
UNSR OPT,Booking Holdings
UNSR OPT,Bright Dairy & Food
UNSR OPT,Construcciones y Auxiliar de Ferrocarriles (CAF)
TEST,Leonardo SPA
