Company name,Symbol,Market name
Airbnb,ABNB,primary
Airbnb,ABNBm,secondary
Airbnb,AIRB34,secondary
Alphabet,GOOGL,primary
Alstom SA,ALO,primary
Alstom SA,ALSO,secondary
Alstom SA,ALSMY,secondary
Amazon,AMZN,primary
Amir Marketing and Investments in Agriculture,AMRK,primary
Angel Bakeries Ltd,ANGL,primary
Mærsk,MAERAC,primary
Ashtrom Group,ASHG,primary
Bank Hapoalim,POLI,primary
Bank Hapoalim,BKH,secondary
Bank Hapoalim,BKHYY,secondary
Bank Hapoalim,BKHPY,secondary
Bank Leumi,LUMI,primary
Bank Leumi,BLMIF,secondary
Bank of Jerusalem,JBNK,primary
Bezeq Corp.,BEZQ,primary
Bezeq Corp.,BZQI,secondary
Booking,BKNG,primary
Booking,BKNGm,secondary
Booking,BKNG34,secondary
BP Plc,BP,primary
Bright Dairy & Food Ltd,600597,primary
C Mer Industries,CMER,primary
Carlsberg Group,CARLb,primary
Carlsberg Group,CARLa,secondary
Carlsberg Group,CABGY,secondary
Carrefour,CA,primary
Carrefour,CARR,secondary
Carrefour,CRRFY,secondary
Caterpillar,CAT,primary
Cellcom Israel,CEL,primary
Cemex,CX,primary
Chevron,CVX,primary
Cisco Systems,CSCO,primary
Costrucciones y Auxiliar de Ferrocarriles SA,CAF,primary
Danya Cebus,DNYA,primary
Delek Group,DLEKG,primary
Delek Group,DELKY,secondary
Delta Galil Industries,DELG,primary
Delta Galil Industries,DELTF,primary
Delta Israel Brands,DLTI,primary
Dor Alon Energy Ltd.,DRAL,primary
eDreams,EDRE,primary
eDreams,EDRE,secondary
eDreams,EDEMY,secondary
eDreams,EDDRF,secondary
Elbit Systems,ESLT,primary
Electra Group,ELTR,primary
Electra Group,ETRZF,secondary
Expedia,EXPE,primary
Expedia,EXGR34,secondary
Export Investment Company Ltd,EXPO,primary
FANUC Corp,6954,primary
FANUC Corp,FANUY,secondary
First International Bank of Israel,FIBI,primary
First International Bank of Israel,FBKIF,secondary
Glencore,GLEN,primary
Glencore,GLNCY,secondary
Hamat Group,HAMAT,primary
Hamat Group,MCBMF,secondary
Heidelberg Materials,HEI,primary
Heidelberg Materials,HDLMY,secondary
Hewlett Packard,HPE,primary
Hikvision Digital Technology,(00)2413,primary
Hilan Ltd,HALN,primary
Hilan Ltd,HLTEF,secondary
HD Hyundai,267250,primary
HD Hyundai,HYMTF,secondary
IBM,IBM,primary
ICL Group,ICL,primary
Israel Discount Bank,DSCT,primary
Israel Discount Bank,ISDAY,secondary
Israel Discount Bank,ISDAF,secondary
Kardan NV,KRNV,primary
Leonardo,LDO,primary
Leonardo,FINMY,secondary
Lockeed Martin,LMT,primary
Matrix IT Ltd,MTRX,primary
Matrix IT Ltd,RMTHF,secondary
Microsoft,MSFT,primary
Mivne Ltd,MVNE,primary
Mizrahi Tefahot Bank,MZTF,primary
Mizrahi Tefahot Bank,MZTFF,secondary
Mordechai Ltd,AVIV,primary
Motorola Solutions,MSI,primary
Motorola Solutions,MSIm,secondary
Motorola Solutions,M1SI34,secondary
Orbia Corp.,ORBIA,primary
Orbia Corp.,MXCHY,secondary
Palantir Technologies,PLTR,primary
Partner Communication Company,PNTR,primary
Paz Retail and Energy Ltd,PAZ,primary
Paz Retail and Energy Ltd,PZZPF,secondary
Petrobras,PBR,primary
Rami Levy Chain Stores,RMLI,primary
Rami Levy Chain Stores,RLEVF,secondary
Re/Max Israel,RMAX,primary
Shapir EI Ltd,SPEN,primary
Shikun & Binui Ltd,SKBN,primary
Shufersal Ltd,SAE,primary
Shufersal Ltd,SHUFF,secondary
Siemens AG,SIE,primary
Syensqo SA,SYENS,primary
The Coca-Cola Company,KO,primary
TKH Group,TWEKA,primary
TripAdvisor,TRIP,primary
TripAdvisor,TRIPm,secondary
TripAdvisor,T1RI34,secondary
TUI AG,TUI,primary
Villar International Ltd,VILR,primary
Vinci SA,DG,primary
Volvo Car Corp.,VOLV,primary
Volvo Car Corp.,VLVLY,secondary
WSP Global Inc,WSP,primary
ZMH Ltd,ZMH,primary
NewMedEnergy LP,NWMD,primary
NewMedEnergy LP,DKDRF,secondary
HD Hyundai Infracore Co.,42670,primary
Ashdod refinery Ltd.,ARF,primary
