ID,Header set,Subfund set,Currency set,Body set,Market value,Quantity,% net assets,Acquisition cost,Acquisition currency
AMUNDI-EN24,"ArialNarrow-BoldItalic ""Securities Portfolio as at""",ArialMT(:27),ArialNarrow(:208),ArialNarrow(:768),-1,1,2,,
AMUNDI-IT24,,,,,2,1,5,,
ANIMA-EN23,,,,,1,-1,2,,
ARCA-IT24,,,,,3,2,4,1,
ASTERIA-EN23,"CenturyGothic-Bold ""Number of Shares/""",CenturyGothic-Bold(80:95),"CenturyGothic-Bold[8.9802] ""(Expressed in""",CenturyGothic,4,1,5,3,2
ASTERIA-EN24,"CenturyGothic-Bold ""Transferable securities admitted to an official stock""",CenturyGothic-Bold(:87),"CenturyGothic-Bold[8.9802] ""(expressed in""",CenturyGothic (:810),4,1,5,3,2
DANSKEINVEST-EN24,"Calibri[13] ""Statement of Investments""",Calibri[14.5](60:80),"Calibri[8.5] ""expressed in""",Calibri[9],4,1,5,3,2
EURIZON-EN21,"ArialMT-Bold ""Face value/""",ArialMT(82:98),"ArialMT[8.9802] ""(expressed in""",Verdana(195:710),4,1,5,3,2
EURIZON-EN23,"Frutiger-Black[11.9735] ""PORTFOLIO AS AT""",Frutiger-Black(65:85),"Frutiger-Black[11.9735] ""PORTFOLIO AS AT""",Frutiger-Light(160:765),3,-1,4,2,1
EURIZON-IT24,,,,,2,1,3,,
FIDEURAM-EN23,"Arial ""Country""",Arial-Bold(:82),Arial[6.9846]((480:)(148:155.5)),Arial(103:749),1,-1,2,,-2
MEDIOLANUM-ES24.A,"TimesNewRomanPSMT ""n de la cartera""",TimesNewRomanPSMT(60:77),"TimesNewRomanPSMT[9] ""(expresado en""",TimesNewRomanPSMT,4,1,5,3,2
MEDIOLANUM-ES24.B,"Helvetica-Bold ""Cartera Exerior""",Helvetica-Bold(:80),"Helvetica ""Expresado en""",Helvetica,3,,,2,
MEDIOLANUM-ES24.C,,,,,,,,,
MEDIOLANUM-IT24.A,"[8.037657] ""Descrizione""",[15.47555] (:80),"[8.037657] ""valori espressi in""",[8.037657],4,1,5,3,2
MEDIOLANUM-IT24.B,,,,,2,1,3,,
