ID,Deselection set
FIDEURAM-EN23,"Arial ""SHARES, WARRANTS, RIGHTS"""
FIDEURAM-EN23,"Arial ""TRANSFERABLE SECURITIES AND MONEY MARKET INSTRUMENTS ADMITTED TO AN OFFICIAL"""
FIDEURAM-EN23,"Arial ""EXCHANGE LISTING OR DEALT IN ON OTHER REGULATED MARKETS"""
FIDEURAM-EN23,"Arial ""BONDS AND ASSIMILATED STRUCTURED PRODUCTS"""
FIDEURAM-EN23,"Arial ""INVESTMENT FUNDS"""
MEDIOLANUM-ES24.B,"""Cartera de inversiones financieras a"""
MEDIOLANUM-ES24.B,"Helvetica ""-$"""
MEDIOLANUM-ES24.A,"TimesNewRomanPSMT ""^ """
MEDIOLANUM-IT24,"""^ """
MEDIOLANUM-IT24,"""TABELLA DEGLI INVESTIMENTI AL"""
